"ID","Label","Ort1","Ort2","Geschlecht","Geburt","Tod"
1030,"Kazianer von Katzenstein, Georg Andreas (1550–1616)","Katzenstein in der Krain","","m",1550,1616
1031,"Kazianer von Katzenstein, Wolfgang Jakob (1595–1639)","Katzenstein in der Krain","","m",1595,1639
1032,"Kazianer von Katzenstein, Johann (1491–1539), Landeshauptmann von Krain","Katzenstein in der Krain","Kostajnica, ▭ Obernburg in der Krain","m",1491,1539
1033,"Kazianer von Katzenstein, Eleonora Elisabeth (1635–1685)","Katzenstein in der Krain","","w",1635,1685
1034,"Gera, Johann Veit (1628–1703), Kämmerer","Arnfels","Engelszell","m",1628,1703
1035,"Wettstein, Christoph (1625–1663), Truchsess","Basel","","m",1625,1663
1036,"Eibiswald, Gottfried (1585–1645), Kämmerer","Burgstall an der Sulm","","m",1585,1645
1037,"Schurff, Karl (1548–1626), Kämmerer","Schönweer in Tirol","Kufstein, ▭ Mariastein in Tirol","m",1548,1626
1038,"Haim von Reichenstein, Stephan (1553–1627), Kämmerer","Reichenstein im Mühlviertel","Wien","m",1553,1627
1039,"Haim von Reichenstein, Johann Christoph (1595–1652), Kämmerer","Heinrichschlag im Waldviertel","","m",1595,1652
1040,"Heusenstamm, Johann Georg (1560–1616), Oberststallmeister","","Wien","m",1560,1616
1041,"Heusenstamm, Johann Lassel (1590–1648), Kämmerer","","","m",1590,1648
1042,"Heusenstamm, Ferdinand (1620–1660), Kämmerer","","","m",1620,1660
1043,"Heusenstamm, Otto Heinrich (1595–1664), Kämmerer","","","m",1595,1664
1044,"Heusenstamm, Otto Felizian (1630–1693)","","","m",1630,1693
1045,"Trczka von Leipa, Niklas (1400–1453)","","Lipnitz an der Sasau","m",1400,1453
1046,"Trczka von Leipa, Burian (1430–1468)","","","m",1430,1468
1047,"Trczka von Leipa, Burian (1465–1522)","","","m",1465,1522
1048,"Lindenspür, Georg Ludwig (1607–1663), Reichshofrat","Stuttgart","","m",1607,1663
1049,"Lindenspür, Wolfgang Friedrich (1581–1651)","Sommerhausen","Stuttgart","m",1581,1651
1050,"Lindenspür, Georg Friedrich (1612–1680)","Stuttgart","Schwarzenau im Waldviertel","m",1612,1680
1051,"Tattenbach, Johann Christoph (1574–1627)","Landsberg in der Krain","","m",1574,1627
1052,"Tattenbach, Wilhelm Leopold (1609–1661), Großprior des Malteserordens in Böhmen","Landsberg in der Krain","Graz","m",1609,1661
1053,"Tattenbach, Johann Gottfried (1607–1640)","Landsberg in der Krain","","m",1607,1640
1054,"Tattenbach, Johann Erasam (1631–1671), Kämmerer","Landsberg in der Krain","Graz","m",1631,1671
1055,"Velen, Alexander (1599–1675), Kämmerer","Raesfeld","","m",1599,1675
1056,"Velen, Ferdinand Gottfried (1626–1685), Kämmerer","Raesfeld","","m",1626,1685
1057,"Hofmann von Grünbühel, Johann (1492–1564), Kämmerer","Grünbühel in der Steiermark","Strechau","m",1492,1564
1058,"Hofmann von Grünbühel, Adam (1523–1573), Kämmerer","Grünbühel in der Steiermark","Steyr","m",1523,1573
1059,"Hofmann von Grünbühel, Johann Adam (1560–1594), Vorschneider","Strechau","","m",1560,1594
1060,"Hofmann von Grünbühel, Johann Friedrich (1530–1589), Kämmerer","Grünbühel in der Steiermark","","m",1530,1589
1061,"Hofmann von Grünbühel, Wolfgang Friedrich (1600–1664), Kämmerer","Strechau","Liegnitz","m",1600,1664
1062,"Hofmann von Grünbühel, Ferdinand (1540–1607), Hofkammerpräsident","Graz","Grafenstein in Böhmen","m",1540,1607
1063,"Pucher von Meggenhausen, Johann Rudolf (1560–1625), Reichshofrat","","Meckenhausen in Mittelfranken","m",1560,1625
1064,"Pucher von Meggenhausen, Johann Georg (1602–1665), Hofkriegsrat","","","m",1602,1665
1065,"Pucher von Meggenhausen, Georg Niklas (1570–1644)","","Eggendorf im Traunkreis","m",1570,1644
1066,"Schmid von Schwarzenhorn, Johann Rudolf (1590–1667), Hofkriegsrat","Stein am Rhein","Wien:Schottenkirche","m",1590,1667
1067,"Gersdorff, Johann (1580–1634)","Seichau","","m",1580,1634
1068,"Gersdorff, Georg Rudolf (1622–1684), Kämmerer","Seichau","","m",1622,1684
1069,"Gersdorff, Georg Rudolf (1654–1711), Kämmerer","","Wien","m",1654,1711
1070,"Gersdorff, Sebastian (1510–1569)","Malschwitz in der Lausitz","","m",1510,1569
1071,"Gersdorff, Friedrich (1540–1606)","Malschwitz in der Lausitz","","m",1540,1606
1072,"Gersdorff, Niklas (1590–1631), Hofkammerrat","Malschwitz in der Lausitz","","m",1590,1631
1073,"Habsburg, Johann Karl (1605–1619)","Graz","Graz","m",1605,1619
1074,"Rosental, Johann (1390–1430)","Rosental an der Skalitz","Taus:Augustinerkirche","m",1390,1430
1075,"Rosental, Johanna (1430–1475), Königin von Böhmen","Rosental an der Skalitz","Melnik","w",1430,1475
1076,"Schidenitz, Franz (1580–1649), Hofkammersekretär","","Wien","m",1580,1649
1077,"Schidenitz, Gregor (1610–1678), Hofkammersekretär","","Wien","m",1610,1678
1078,"Sapieha, Stenzel (1589–1635), Kämmerer","Mołodeczno","Lachowicze","m",1589,1635
1079,"Draskovich, Bartlme (1480–1538)","Bilina in Dalmatien","","m",1480,1538
1080,"Draskovich, Georg (1515–1587), Erzbischof von Kollotschau","Bilina in Dalmatien","Wien","m",1515,1587
1081,"Draskovich, Kaspar (1520–1591)","Bilina in Dalmatien","Drachenstein in Kroatien","m",1520,1591
1082,"Draskovich, Johann (1525–1566)","Bilina in Dalmatien","Szigetvár","m",1525,1566
1083,"Draskovich, Georg (1559–1607), Hofdiener","Bilina in Dalmatien","","m",1559,1607
1084,"Draskovich, Georg (1599–1650), Bischof von Jauer an der Raab","Drachenstein in Kroatien","Wien","m",1599,1650
1085,"Draskovich, Johann (1640–1692), Obersthofmeister","Drachenstein in Kroatien","Lockenhaus","m",1640,1692
1086,"Draskovich, Johann (1670–1733), Ban von Kroatien","","Klenovnik in Kroatien","m",1670,1733
1087,"Erdődy, Siegmund (1590–1639), Ban von Kroatien","Eberau im Burgenland","","m",1590,1639
1088,"Erdődy, Christoph (1584–1621)","Eberau im Burgenland","Wien","m",1584,1621
1089,"Erdődy, Gabriel (1613–1650), Kämmerer","Eberau im Burgenland","","m",1613,1650
1090,"Kolowrat, Karl (1585–1629), Kämmerer","Rothschloß","","m",1585,1629
1091,"Zierotin, Johann Joachim (1667–1716), Kämmerer","","","m",1667,1716
1092,"Sahrer von Sahr, Florian Theoderich (1598–1653), Kämmerer","Tachlovice","Kladno","m",1598,1653
1093,"Sahrer von Sahr, Maria Katharina (1630–1658)","","","w",1630,1658
1094,"Martinitz, Elisabeth Quirina (1604–1649)","","Prag, ▭ Kladno","w",1604,1649
1095,"Martinitz, Barbara Eusebia (1610–1656)","","Prag","w",1610,1656
1096,"Slavata, Adam (1546–1616)","","","m",1546,1616
1097,"Slavata, Adam Paul (1604–1657), Kämmerer","Neuhaus in Böhmen","Neuhaus in Böhmen","m",1604,1657
1098,"Slavata, Elisabeth (1573–1605)","","","w",1573,1605
1099,"Slavata, Joachim (1576–1630), Kämmerer","Čestín","","m",1576,1630
1100,"Slavata, Dionys Wilhelm (1519–1575)","","","m",1519,1575
1101,"Slavata, Heinrich (1550–1599)","","","m",1550,1599
1102,"Slavata, Dionys (1586–1623)","","","m",1586,1623
1103,"Slavata, Heinrich Wilhelm (1605–1654), Kämmerer","","","m",1605,1654
1104,"Wrtby, Johann Franz (1631–1687), Kämmerer","Prag","","m",1631,1687
1105,"Schambach, Karl Sidonius (1588–1645), Kämmerer","Schambach im Adlergebirge","Pottenstein im Adlergebirge","m",1588,1645
1106,"Hase von Hasenburg, Johann (1486–1553)","","Budin an der Eger","m",1486,1553
1107,"Hase von Hasenburg, Wenzel (1518–1578)","Budin an der Eger","Prag","m",1518,1578
1108,"Hase von Hasenburg, Niklas (1524–1585)","Budin an der Eger","","m",1524,1585
1109,"Wrtby, Ferdinand Franz (1636–1712), Kämmerer","Prag","","m",1636,1712
1110,"Rosental, Jaroslaus (1425–1486)","Rosental an der Skalitz","Blatná","m",1425,1486
1111,"Rosental, Sidonius (1470–1535), Oberstburggraf von Prag","Rosental an der Skalitz","Blatná","m",1470,1535
1112,"Rosental, Sidonius (1510–1580), Landeshauptmann von Mähren","Blatná","","m",1510,1580
1113,"Rosental, Maximilian (1550–1613)","Blatná","","m",1550,1613
1114,"Rosenberg, Johann (1434–1472), Landeshauptmann von Schweidnitz und Jauer","Krumau in Böhmen","Ortenburg im Wolfachtal, ▭ Hohenfurth an der Moldau","m",1434,1472
1115,"Rosenberg, Peter (1462–1523), Statthalter von Böhmen","Krumau in Böhmen","Krumau in Böhmen","m",1462,1523
1116,"Rosenberg, Wolfgang (1459–1505)","Krumau in Böhmen","Wittingau","m",1459,1505
1117,"Rosenberg, Jobst (1488–1539)","Krumau in Böhmen","Krumau in Böhmen, ▭ Hohenfurth an der Moldau","m",1488,1539
1118,"Rosenberg, Peter Wolfgang (1539–1611)","Krumau in Böhmen","Wittingau, ▭ Hohenfurth an der Moldau","m",1539,1611
1119,"Eibiswald, Siegmund (1505–1556)","Eibiswald im Saggautal","","m",1505,1556
1120,"Eibiswald, Kaspar (1545–1598)","Burgstall an der Sulm","Istanbul","m",1545,1598
1121,"Rosenberg, Johann (1560–1617)","Aust an der Lainsitz","","m",1560,1617
1122,"Rosenberg, Georg Wilhelm (1590–1621)","Aust an der Lainsitz","","m",1590,1621
1123,"Lobkowicz, Georg (1540–1607), Oberstkämmerer","","Elbogen an der Eger","m",1540,1607
1124,"Waldstein, Wenzel (1520–1579)","","","m",1520,1579
1125,"Waldstein, Elisabeth (1575–1631)","","","w",1575,1631
1126,"Jeníšek von Újezd, Johann (1500–1556)","Svrčovec","","m",1500,1556
1127,"Jeníšek von Újezd, Adaukt (1580–1651), Kämmerer","Svrčovec","Prag, ▭ Bresnitz","m",1580,1651
1128,"Jeníšek von Újezd, Burian (1540–1599)","Svrčovec","Štěpánovice an der Angel","m",1540,1599
1129,"Jeníšek von Újezd, Johann (1575–1642)","Svrčovec","","m",1575,1642
1130,"Jeníšek von Újezd, Adaukt Franz (1620–1661)","","","m",1620,1661
1131,"Jeníšek von Újezd, Johann Joseph (1657–1728), Kämmerer","","","m",1657,1728
1132,"Zierotin, Kaspar Melchior (1559–1628), Kämmerer","","","m",1559,1628
1133,"Zierotin, Johann Lorenz (1583–1619), Truchsess","","","m",1583,1619
1134,"Zierotin, Ludmila (1595–1615)","","","w",1595,1615
1135,"Zierotin, Veronika (1585–1625)","","","w",1585,1625
1136,"Zierotin, Johann Theoderich (1555–1599)","","Seelowitz","m",1555,1599
1137,"Zierotin, Wilhelm (1491–1547)","","","m",1491,1547
1138,"Zierotin, Johann (1473–1531)","","","m",1473,1531
1139,"Zierotin, Johann (1510–1558), Landeshauptmann von Mähren","","","m",1510,1558
1140,"Zierotin, Karl (1509–1560), Hofkriegsrat","","Kolin an der Elbe","m",1509,1560
1141,"Zierotin, Premsel (1500–1558)","","","m",1500,1558
1142,"Zierotin, Johann (1540–1608)","","","m",1540,1608
1143,"Zierotin, Premsel (1590–1652)","","","m",1590,1652
1144,"Zierotin, Premsel (1629–1673)","","","m",1629,1673
1145,"Zierotin, Friedrich (1495–1543)","","","m",1495,1543
1146,"Zierotin, Johann (1535–1583)","","Brandeis an der Adler","m",1535,1583
1147,"Zierotin, Karl (1564–1636), Landeshauptmann von Mähren","Brandeis an der Adler","Prerau in Mähren, ▭ Brandeis an der Adler","m",1564,1636
1148,"Zierotin, Bernhard (1400–1457)","","","m",1400,1457
1149,"Zierotin, Johann (1430–1499)","","","m",1430,1499
1150,"Zierotin, Peter (1465–1528)","","","m",1465,1528
1151,"Zierotin, Bernhard (1435–1480)","","","m",1435,1480
1152,"Zierotin, Wenzel (1470–1534)","","","m",1470,1534
1153,"Zierotin, Paul (1500–1549)","","","m",1500,1549
1154,"Zierotin, Theoderich (1540–1596), Vorschneider","","","m",1540,1596
1155,"Zierotin, Friedrich (1530–1598), Landeshauptmann von Mähren","","","m",1530,1598
1156,"Habsburg, Maria Anna (1634–1696), Königin von Spanien","Neustadt im Steinfeld","Madrid, ▭ San Lorenzo de El Escorial","w",1634,1696
1157,"Praschma von Bilkau, Johann Bernhard (1603–1668)","Bilkau in Mähren","Rybnik in Schlesien","m",1603,1668
1158,"Praschma von Bilkau, Karl Ferdinand (1634–1677)","Bilkau in Mähren","","m",1634,1677
1159,"De Witte von Lilienthal, Johann (1583–1630), Hofdiener","Antwerpen","Prag","m",1583,1630
1160,"Seeau, Thomas (1490–1586)","Goisern am Hallstättersee","Goisern am Hallstättersee","m",1490,1586
1161,"Seeau, Wolfgang (1530–1592)","Goisern am Hallstättersee","Graz","m",1530,1592
1162,"Seeau, Thomas (1580–1643)","Goisern am Hallstättersee","Ebenzweier, ▭ Altmünster am Traunsee","m",1580,1643
1163,"Seeau, Achaz (1530–1600)","Goisern am Hallstättersee","","m",1530,1600
1164,"Strein von Schwarzenau, Richard (1538–1600), Hofkammerpräsident","Hartenstein in der Wachau","Freidegg, ▭ Ferschnitz","m",1538,1600
1165,"Vischer von Ramprechtstorff, Johann Friedrich (1600–1639), Hofkriegsratssekretär","Reinprechtsdorf am Hundsturm","Wien","m",1600,1639
1166,"Fellner von Feldegg, Matthias (1580–1637), Münzmeister in Wien","","Sankt Margareten an der Wien","m",1580,1637
1167,"Fellner von Feldegg, Helena (1614–1680)","Wien","Sankt Margareten an der Wien, ▭ Wien","w",1614,1680
1168,"Schmid von Schwarzenhorn, Polyxena (1649–1727)","Sankt Margareten an der Wien","","w",1649,1727
1169,"Schmid von Schwarzenhorn, Anna (1648–1733)","Sankt Margareten an der Wien","Wien","w",1648,1733
1170,"Seeau, Johann Maximilian (1623–1683), Hofkammerrat","Mühlleiten an der Traun","Wien","m",1623,1683
1171,"Vischer von Ramprechtstorff, Franz Heinrich (1635–1672)","Reinprechtsdorf am Hundsturm","","m",1635,1672
1172,"Seeau, Johann Achaz (1620–1673)","Mühlleiten an der Traun","","m",1620,1673
1173,"Seeau, Sebastian (1560–1622), Hofbuchhalter","Goisern am Hallstättersee","Wien","m",1560,1622
1174,"Seeau, Michael (1565–1629)","Goisern am Hallstättersee","Wien","m",1565,1629
1175,"Kielmann von Kielmansegg, Arnold (1560–1627)","Hattingen an der Ruhr","Hattingen an der Ruhr","m",1560,1627
1176,"Kielmann von Kielmansegg, Heinrich (1586–1659), Hofkammerrat","Hattingen an der Ruhr","Wien:Peterskirche","m",1586,1659
1177,"Kielmann von Kielmansegg, Johann Baptist (1590–1641), Hofkriegsratssekretär","Hattingen an der Ruhr","Regensburg","m",1590,1641
1178,"Habsburg, Margarita (1651–1673), Kaiserin des Heiligen Römischen Reiches","Madrid","Wien","w",1651,1673
1179,"Gallenfels, Jakob Siegmund (1640–1697)","","","m",1640,1697
1180,"Eibiswald, Siegmund (1540–1607)","Burgstall an der Sulm","","m",1540,1607
1181,"Eibiswald, Georg Amalrich (1595–1649), Kämmerer","Burgstall an der Sulm","","m",1595,1649
1182,"Habsburg, Antonia (1669–1692), Herzogin in Bayern","Wien","Wien:Kapuzinergruft","w",1669,1692
1183,"Klöden, Georg (1593–1648)","Kläden in der Altmark","Detershagen im Jerichower Land","m",1593,1648
1184,"Gera, Maria Eleonora (1665–1691)","Eschelberg","Mühlleiten an der Traun","w",1665,1691
1185,"Zedlitz, Lassel (1563–1628)","","Grüßau an der Zieder","m",1563,1628
1186,"Zinzendorf, Georg Christoph (1580–1616)","","","m",1580,1616
1187,"Wittelsbach, Joseph Ferdinand (1692–1699), Fürst von Asturien","Wien","Brüssel:Kathedrale","m",1692,1699
1188,"Strein von Schwarzenau, Gotthard (1495–1548)","Hartenstein in der Wachau","Haselbach im Waldviertel","m",1495,1548
1189,"Strein von Schwarzenau, Gabriel (1536–1598), Reichshofrat","Hartenstein in der Wachau","","m",1536,1598
1190,"Schmid von Obernburg, Johann (1486–1552)","Obernburg am Main","Villach in Kärnten, ▭ Obernburg am Main","m",1486,1552
1191,"Schmid von Obernburg, Peter (1490–1552)","Obernburg am Main","Obernburg am Main","m",1490,1552
1192,"Schmid von Obernburg, Peter (1530–1588), Reichshofrat","Obernburg am Main","Prag","m",1530,1588
1193,"Butler, Walter (1600–1634), Kämmerer","Roscrea","Schorndorf im Remstal, ▭ Wiesensteig, ▭ Prag","m",1600,1634
1194,"Martinitz, Jaroslaus (1549–1581), Kämmerer","Smečno","","m",1549,1581
1195,"Wratislaw von Mitrowitz, Wratislaus (1565–1610)","","","m",1565,1610
1196,"Wratislaw von Mitrowitz, Johann Sidonius (1595–1655), Kämmerer","","","m",1595,1655
1197,"Wratislaw von Mitrowitz, Hartwig (1580–1624), Kämmerer","","Prag","m",1580,1624
1198,"Wratislaw von Mitrowitz, Johann (1460–1520)","","Dobřany","m",1460,1520
1199,"Wratislaw von Mitrowitz, Wratislaus (1490–1543)","","","m",1490,1543
1200,"Wratislaw von Mitrowitz, Johann (1530–1581)","","","m",1530,1581
1201,"Wratislaw von Mitrowitz, Sidonius (1578–1641), Kämmerer","","","m",1578,1641
1202,"Wratislaw von Mitrowitz, Franz Christoph (1640–1689), Geheimer Rat","","Prag","m",1640,1689
1203,"Wratislaw von Mitrowitz, Johann Wenzel (1669–1712)","Prag","Wien, ▭ Prag","m",1669,1712
1204,"Wittelsbach, Ludwig (1229–1294)","","","m",1229,1294
1205,"Wittelsbach, Rudolf (1274–1319)","","","m",1274,1319
1206,"Berka von der Duba, Heinrich (1360–1404)","","","m",1360,1404
1207,"Berka von der Duba, Heinrich (1430–1470)","","","m",1430,1470
1208,"Berka von der Duba, Georg (1460–1514)","","","m",1460,1514
1209,"Berka von der Duba, Christoph (1500–1555)","","","m",1500,1555
1210,"Berka von der Duba, Heinrich (1530–1601)","","","m",1530,1601
1211,"Berka von der Duba, Heinrich (1560–1609)","","","m",1560,1609
1212,"Berka von der Duba, Georg (1565–1618)","","","m",1565,1618
1213,"Berka von der Duba, Heinrich (1490–1541)","","","m",1490,1541
1214,"Berka von der Duba, Sidonius (1520–1572), Mundschenk","","","m",1520,1572
1215,"Berka von der Duba, Wenzel (1554–1608)","","","m",1554,1608
1216,"Berka von der Duba, Sbigneus (1518–1578), Großprior des Malteserordens in Böhmen","","Reichstadt in Böhmen","m",1518,1578
1217,"Wratislaw von Mitrowitz, Wenzel (1565–1612)","","","m",1565,1612
1218,"Wratislaw von Mitrowitz, Georg (1596–1639), Kämmerer","","Prag","m",1596,1639
1219,"Wratislaw von Mitrowitz, Sebastian (1550–1586)","","","m",1550,1586
1220,"Wratislaw von Mitrowitz, Niklas (1580–1628)","","","m",1580,1628
1221,"Wratislaw von Mitrowitz, Dionys (1615–1677)","","","m",1615,1677
1222,"Wittelsbach, Adolf (1300–1327)","","","m",1300,1327
1223,"Berka von der Duba, Alexander (1430–1481)","","","m",1430,1481
1224,"Berka von der Duba, Georg (1460–1522)","","","m",1460,1522
1225,"Berka von der Duba, Alexander (1495–1544)","","","m",1495,1544
1226,"Berka von der Duba, Adam (1530–1583)","","","m",1530,1583
1227,"Berka von der Duba, Wenzel (1570–1625)","","","m",1570,1625
1228,"Notthafft, Wilhelm (1575–1633), Kämmerer","Aholming in der Isarau","Passau","m",1575,1633
1229,"Habsburg, Albrecht (1188–1239), Landgraf im Elsass","Habsburg im Aargau","Askalon","m",1188,1239
1230,"Melmeck, Johann (1610–1658), Hofkammerregistrator","","Wien","m",1610,1658
1231,"Melmeck, Theoderich (1657–1700), Hofkammersekretär","","Wien","m",1657,1700
1232,"Kurtz von Senftenau, Rudolf Heinrich (1580–1623)","","","m",1580,1623
1233,"Kurtz von Senftenau, Maximilian (1595–1662)","München","München","m",1595,1662
1234,"Kurtz von Senftenau, Sebastian (1508–1568), Hofdiener","Niederdorf im Pustertal","Lindau im Bodensee","m",1508,1568
1235,"Kurtz von Senftenau, Johann Jakob (1583–1645), Kämmerer","Prag","Wien","m",1583,1645
1236,"Kurtz von Senftenau, Jakob (1553–1594), Geheimer Rat","Feldkirch in Vorarlberg","Prag:Thomaskirche","m",1553,1594
1237,"Kurtz von Senftenau, Philipp (1555–1643)","Feldkirch in Vorarlberg","","m",1555,1643
1238,"Askanien, Albrecht (1100–1170), Markgraf von Brandenburg","Ballenstedt im Harz","Stendal in der Altmark, ▭ Ballenstedt im Harz","m",1100,1170
1239,"Askanien, Otto (1128–1184), Markgraf von Brandenburg","","Lehnin in der Zauche:Klosterkirche","m",1128,1184
1240,"Askanien, Otto (1160–1205), Markgraf von Brandenburg","","","m",1160,1205
1241,"Askanien, Albrecht (1171–1220), Markgraf von Brandenburg","","Lehnin in der Zauche:Klosterkirche","m",1171,1220
1242,"Papierer, Susanna (1600–1632)","Wien","Wien","w",1600,1632
1243,"Kielmann von Kielmansegg, Susanna (1625–1675)","Wien","Wien","w",1625,1675
1244,"Kielmann von Kielmansegg, Ulrich (1629–1676)","Wien","Speyer","m",1629,1676
1245,"Valmarana, Leonhard (1548–1613)","","Vicenza","m",1548,1613
1246,"Maschwander von Schwanau, Ulrich (1540–1600)","","","m",1540,1600
1247,"Haim von Reichenstein, Christoph (1517–1571), Hofkammerrat","Seckau im Murtal","Reichenstein im Mühlviertel","m",1517,1571
1248,"Haim von Reichenstein, Johann (1544–1616), Landeshauptmann von Oberösterreich","Reichenstein im Mühlviertel","Wien:Schottenkirche","m",1544,1616
1249,"Grundemann von Falkenberg, Konstantin (1582–1658)","","","m",1582,1658
1250,"Grundemann von Falkenberg, Adam Anton (1624–1711), Geheimer Rat","","Wien","m",1624,1711
1251,"Grundemann von Falkenberg, Ernst Konstantin (1653–1702)","","","m",1653,1702
1252,"Grundemann von Falkenberg, Georg Konstantin (1623–1691), Hofkammerrat","","","m",1623,1691
1253,"Grundemann von Falkenberg, Johann Erasam (1630–1663)","","Wilhering","m",1630,1663
1254,"Grundemann von Falkenberg, Susanna Franziska (1689–1748)","","","w",1689,1748
1255,"Welz, Konrad (1245–1305)","","","m",1245,1305
1256,"Welz, Konrad (1285–1334)","Winklern in der Steiermark","","m",1285,1334
1257,"Welz, Wolfgang (1280–1345)","Winklern in der Steiermark","","m",1280,1345
1258,"Welz, Christoph (1320–1372)","Mitterdorf im Katschtal","","m",1320,1372
1259,"Welz, Moritz (1360–1428), Landeshauptmann der Steiermark","Mitterdorf im Katschtal","","m",1360,1428
1260,"Welz, Moritz (1400–1462)","Mitterdorf im Katschtal","","m",1400,1462
1261,"Welz, Georg (1440–1488)","Eberstein in Kärnten","","m",1440,1488
1262,"Welz, Christoph (1470–1539)","Eberstein in Kärnten","","m",1470,1539
1263,"Welz, Moritz (1500–1555)","Eberstein in Kärnten","Wien","m",1500,1555
1264,"Welz, Christoph (1530–1566)","Frauenstein in Kärnten","Radkersburg","m",1530,1566
1265,"Welz, Veit Christoph (1567–1586)","Frauenstein in Kärnten","Basel","m",1567,1586
1266,"Welz, Maria Magdalena (1554–1642)","Frauenstein in Kärnten","Nürnberg:Johannisfriedhof","w",1554,1642
1267,"Welz, Veit (1452–1540), Landeshauptmann von Kärnten","Eberstein in Kärnten","Straßburg in Kärnten:Nikolauskirche","m",1452,1540
1268,"Hohenzollern, Friedrich (1139–1201), Burggraf von Nürnberg","Hechingen","Nürnberg","m",1139,1201
1269,"Hohenzollern, Friedrich (1188–1255)","Hechingen","Hechingen","m",1188,1255
1270,"Hohenzollern, Friedrich (1220–1289)","Hechingen","Hechingen","m",1220,1289
1271,"Hohenzollern, Friedrich (1250–1298)","Hechingen","Hechingen","m",1250,1298
1272,"Hohenzollern, Friedrich (1280–1333)","Hechingen","Hechingen","m",1280,1333
1273,"Hohenzollern, Friedrich (1310–1365), Domherr in Straßburg","Hechingen","Hechingen","m",1310,1365
1274,"Hohenzollern, Friedrich (1350–1401)","Hechingen","Hechingen","m",1350,1401
1275,"Hohenzollern, Eitel Friedrich (1384–1439)","Hechingen","Hechingen, ▭ Stetten im Gnadental","m",1384,1439
1276,"Hohenzollern, Jobst Niklas (1433–1488)","Hechingen","Augsburg, ▭ Stetten im Gnadental","m",1433,1488
1277,"Hohenzollern, Eitel Friedrich (1452–1512), Obersthofmeister","Hechingen","Trier, ▭ Hechingen","m",1452,1512
1278,"Hohenzollern, Eitel Friedrich (1494–1525)","Hechingen","Pavia","m",1494,1525
1279,"Hohenzollern, Konrad (1186–1261), Burggraf von Nürnberg","Hechingen","Nürnberg","m",1186,1261
1280,"Hohenzollern, Friedrich (1225–1297), Burggraf von Nürnberg","Nürnberg","Cadolzburg, ▭ Heilsbronn im Rangau","m",1225,1297
1281,"Hohenzollern, Friedrich (1287–1332), Burggraf von Nürnberg","Cadolzburg","Cadolzburg, ▭ Heilsbronn im Rangau","m",1287,1332
1282,"Hohenzollern, Johann (1310–1357), Burggraf von Nürnberg","Cadolzburg","Cadolzburg, ▭ Heilsbronn im Rangau","m",1310,1357
1283,"Hohenzollern, Friedrich (1332–1398), Burggraf von Nürnberg","Cadolzburg","Kulmbach, ▭ Heilsbronn im Rangau","m",1332,1398
1284,"Hohenzollern, Friedrich (1371–1440), Markgraf von Brandenburg","Cadolzburg","Cadolzburg, ▭ Heilsbronn im Rangau","m",1371,1440
1285,"Hohenzollern, Friedrich (1413–1471), Markgraf von Brandenburg","Tangermünde","Neustadt an der Aisch, ▭ Heilsbronn im Rangau","m",1413,1471
1286,"Hohenzollern, Albrecht (1414–1486), Markgraf von Brandenburg","Tangermünde","Frankfurt am Main, ▭ Heilsbronn im Rangau","m",1414,1486
1287,"Hohenzollern, Johann (1455–1499), Markgraf von Brandenburg","Ansbach","Arneburg, ▭ Lehnin in der Zauche, ▭ Kölln an der Spree","m",1455,1499
1288,"Hohenzollern, Joachim (1484–1535), Markgraf von Brandenburg","Kölln an der Spree","Stendal in der Altmark, ▭ Lehnin in der Zauche, ▭ Kölln an der Spree","m",1484,1535
1289,"Hohenzollern, Joachim (1505–1571), Markgraf von Brandenburg","Kölln an der Spree","Köpenick, ▭ Kölln an der Spree","m",1505,1571
1290,"Hohenzollern, Johann Georg (1525–1598), Markgraf von Brandenburg","Kölln an der Spree","Kölln an der Spree","m",1525,1598
1291,"Hohenzollern, Joachim Friedrich (1546–1608), Markgraf von Brandenburg","Kölln an der Spree","Grünau an der Dahme, ▭ Kölln an der Spree","m",1546,1608
1292,"Hohenzollern, Johann Siegmund (1572–1620), Markgraf von Brandenburg","Halle an der Saale","Kölln an der Spree","m",1572,1620
1293,"Hohenzollern, Georg Wilhelm (1595–1640), Markgraf von Brandenburg","Kölln an der Spree","Königsberg in Preußen","m",1595,1640
1294,"Hohenzollern, Johann Georg (1577–1624), Herzog von Jägerndorf","Wolmirstedt","Leutschau in der Zips","m",1577,1624
1295,"Hohenzollern, Agnes (1584–1629)","Kölln an der Spree","Neuhaus an der Elbe","w",1584,1629
1296,"Hohenzollern, Elisabeth (1589–1629)","Kölln an der Spree","Frankfurt an der Oder","w",1589,1629
1297,"Hohenzollern, Dorothea (1590–1625)","Kölln an der Spree","Brieg","w",1590,1625
1298,"Hohenzollern, Johann (1597–1627)","Kölln an der Spree","Steinburg in Holstein, ▭ Kulmbach","m",1597,1627
1299,"Hohenzollern, Johann Georg (1598–1637), Kämmerer","Crossen an der Oder","Crailsheim","m",1598,1637
1300,"Hohenzollern, Joachim Ernst (1583–1625), Landesherr von Ansbach","Kölln an der Spree","Ansbach, ▭ Heilsbronn im Rangau","m",1583,1625
1301,"Hohenzollern, Christian (1581–1655), Landesherr von Kulmbach","Kölln an der Spree","Bayreuth","m",1581,1655
1302,"Hohenzollern, Friedrich (1616–1634), Erbprinz von Ansbach","Ansbach","Nördlingen im Ries","m",1616,1634
